Accession Id,Artist,Credit Line,Display Dimensions,Geometry,Location Description,Medium,Source,Title,Location
2008.1.a-f,"Kennedy, Deborah",,,"(-122.4479623,37.7336841)",Public Display : District 8 : Sunnyside Playground,Painted stainless steel,San Francisco Arts Commission,Solar Sight,
T2009.26.a-b,"Kim, Cheonae",,,"(-122.4556651,37.7478586)",Public Display : District 7 : Laguna Honda Hospital : Aqua Therapy Room : North ,Glazed ceramic tile,San Francisco Arts Commission,somewhere,
1987.16,"Kirkland, Larry",Purchased by the San Francisco Art Commission for the San Francisco International Airport,"264"" H X 276"" W X 756"" D","(-122.389979,37.615223)",Airport : T1 : Boarding Area B,"Stainless steel cable, painted aluminum tubing, sheeting and screening",San Francisco Arts Commission,Flight Patterns,
T2009.37,"Kitundu, Walter",Commissioned by the San Francisco Arts Commission and the Airport Commission for San Francisco International Airport,,"(-122.389979,37.615223)",Airport : Terminal 2 : Between Gates 54A and 54B,"Wood, ink and plastic",San Francisco Arts Commission,San Francisco Bay Area Bird Encounters,
2004.1,"Klotz, Werner",Collection of the City and County of San Francisco. Commissioned by the San Francisco Arts Commission and the Airport Commission for San Francisco International Airport,30 in. x 30 in. x 30 in.,"(-122.389979,37.615223)",Airport : IT : Departures,Mixed media,San Francisco Arts Commission,Anemone,
1987.43,"Kogure, Kimiko",Commissioned for Stern Grove Renovations,,"(-122.448703,37.739277)",Public Display : District 7 : Miraloma Field House : Omar and Sequoia Streets : ,ceramic tile,San Francisco Arts Commission,Miraloma Fieldhouse Bathrooms,"Miraloma Field House : Omar
"
1987.44,"Kogure, Kimiko",Commissioned for Stern Grove Historic Renovation,,"(-122.4194155,37.7749295)","Public Display : District 4 : Stern Grove, Trocadero Clubhouse",stained glass,San Francisco Arts Commission,Stern Grove Trocadero Clubhouse,
2006.6,"Koloski, Vince",,60 in. x 480 in.,"(-122.393081,37.775209)","Public Display : District 10 : Mission Bay Library, 960 4th Street",Mixed media,San Francisco Arts Commission,A Library Book,
1986.59,"Kopecek, Vera",Purchased by the San Francisco Art Commission for the San Francisco International Airport,"103"" H X 156"" W","(-122.389979,37.615223)",Airport : South Terminal : Boarding Area A,Wool tapestry with cotton twine,San Francisco Arts Commission,Flight Thrills,
1984.7,"Kozloff, Joyce",Purchased by the San Francisco Arts Commission for the San Francisco International Airport; Collection of the City and County of San Francisco,10' H X 51' W overall (3 panels),"(-122.389979,37.615223)",Airport : IT : South Pedestrian Bridge,Ceramic tile and glass.,San Francisco Arts Commission,"Bay Area Victorian, Bay Area Deco, Bay Area Funk",
